organization,current_role,data_challenge,data_skills_assessing_and_improving_the_quality_of_data,data_skills_communicating_data_insights_effectively,data_skills_creating_and_using_data_visualisations,data_skills_data_policy_and_legislation,data_skills_data_privacy_and_security,data_skills_finding_data_to_help_my_work,data_skills_including_data_considerations_in_contracts_and_agreements,data_skills_publishing_real_time_data,data_skills_releasing_open_data,data_skills_requesting_data_held_by_another_agency,data_skills_research_methodologies,data_skills_sharing_data_outside_my_organization,data_skills_simple_advice_on_what_data_is_and_how_it_applies_to_my_work,data_skills_understanding_data_governance_rules,data_skills_using_data_to_improve_decisions_and_service_delivery,data_skills_understanding_of_corporate_data_management_processes,data_skills_other_please_specify,data_related_learning_artificial_intelligence,data_related_learning_big_data,data_related_learning_computer_programming_or_coding,data_related_learning_data_sharing,data_related_learning_data_ethics_and_security,data_related_learning_machine_learning,data_related_learning_predictive_analytics,data_related_learning_statistics,data_related_learning_other_please_specify,learning_needs_self_paced_e_learning,learning_needs_video_tutorials,learning_needs_webinars,learning_needs_one_day_workshop,learning_needs_weeklong_workshop,learning_needs_online_tools_and_resources,learning_needs_a_classroom_environment_training_course,learning_needs_a_collaborative_online_community,learning_needs_mentoring,learning_needs_university_courses_and_degrees,learning_needs_all_of_the_above
"Advanced Education, Skills and Training",Business users,"Beyond using currently available data, what's required to initiate the collection of new data through interviews and surveys?",not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,NA,selected,selected,not selected,selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,trying to find specific data and how to utilize it.  such as the data warehouse,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Education,Data professionals,"My role is data librarian and there is too much data for me to manage to the extent that I would like. It's easy for people to make requests and have me involved in capturing metadata, but giving all my tasks due attention and making the entries perfect is impossible.",selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,NA,not selected,selected,not selected,selected,selected,not selected,selected,not selected,NA,selected,selected,selected,selected,not selected,selected,selected,selected,not selected,selected,not selected
"Energy, Mines and Petroleum Resources",Business users,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,selected,selected,not selected,not selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
"Energy, Mines and Petroleum Resources",Data professionals,"Our major challenge is lack of data. EMPR, with regards to mining activity, has very little data to support proper analysis and thorough decision making. Secondary to that is the quality of our data. Much of it is filled with errors, mis-information or missing information.",not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,selected,selected,not selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
"Advanced Education, Skills and Training",Business users,"Almost every thing we do in terms of data collect for one of my programs is done manually through Excel spreadsheets. We are in the process of modernizing the work but getting quick reliable, actionable data has been and continues to be a challenge.",selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
BC Public Service Agency,Data professionals,Being able to bridge the gap between the technical nature of data and the interpretation of it that's accurate (if not precise) but understandable. Especially if the data involve lots of caveats or parameters.,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,"Note - I chose ""other"" as for some, skills/knowledge exist, but not necessarily resources (or priority) to do them",selected,selected,not selected,not selected,not selected,selected,not selected,not selected,NA,selected,selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,not selected
Attorney General,Business users,Directing a group which is in part responsible for turning transaction data and caseload into meaningful analysis.,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,NA,selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Municipal Affairs and Housing,Executive users,"Accessing, developing and / or maintaining data on a variety of policy relevant issues, including for a core set of data points.",selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,NA,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected
Finance,Executive users,Protecting data from unauthorized access,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,not selected,selected,selected,selected,selected,NA,selected,selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
BC Public Service Agency,Business users,Data is not collected in some areas relevant to my business; the data that is collected is subject to high levels of bias and inconsistency,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,Learning R and getting help with R,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,How to use Postgres,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,not selected
BC Public Service Agency,Data professionals,"Developing a shared understanding with clients of what data we need to move forward with a project. A common issue is pulling together baseline data - having them understand that we need to know ""how many"" out of ""how many possible"" - not understanding denominators.",not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,NA,not selected,selected,selected,selected,selected,not selected,not selected,not selected,NA,selected,not selected,not selected,selected,selected,selected,not selected,selected,selected,not selected,not selected
Education,Business users,Assessing the quality of data and having clarity that the source-of-truth of this  data is being actively well managed.,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,selected,selected,not selected,NA,selected,not selected,not selected,selected,not selected,selected,not selected,selected,selected,not selected,not selected
BC Public Service Agency,Data professionals,Not being able to share all of the Public Services data among all ministries.,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,selected,NA,not selected,selected,not selected,selected,not selected,selected,selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
BC Public Service Agency,Business users,Obtaining meaningful analytics for my program and baseline information for the BC Public Service community more broadly.,selected,selected,selected,not selected,selected,selected,selected,selected,not selected,selected,not selected,selected,selected,not selected,selected,selected,NA,not selected,selected,not selected,selected,not selected,not selected,selected,selected,NA,selected,not selected,selected,selected,not selected,selected,not selected,selected,selected,not selected,not selected
BC Public Service Agency,Business users,Ensuring that the data source and label is well understood,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected
Environment and Climate Change Strategy,Data professionals,Finding organized and available and information about operational databases.,selected,not selected,not selected,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,selected,NA,not selected,selected,selected,selected,not selected,not selected,not selected,selected,publishing metadata,not selected,not selected,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected
Environment and Climate Change Strategy,Data professionals,"Dirty data.  Bad data from legacy applications.  For example tables with names of companies that do business with the government, however their are duplicates, misspellings, and other quality issues which make it impossible to know if John Doe is the same as Jon Doe, Johnathan Doe, John B Doe etc, and now we can't report out on the data in any meaningful way or connect with this person.",selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,"Data management tools, data modeling tools, agile teams that don't care about data modeling",selected,selected,selected,selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected
Citizens' Services,Data professionals,Making time for skills development/upskilling,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,not selected,selected,selected,selected,selected,NA,not selected,not selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected
